owner,repo,issue_id,id,node_id,url,actor_id,event,commit_id,created_at,performed_via_github_app,label_name,label_color,rename_from,rename_to,milestone,lock_reason,assignee_id,assigner_id,review_requester_id,requested_reviewer_id,events_url,commit_url
scottrice,Ice,232337629,1113552784,MDExOkNsb3NlZEV2ZW50MTExMzU1Mjc4NA==,https://api.github.com/repos/scottrice/Ice/issues/events/1113552784,15597865,closed,NA,2017-06-07T12:28:42Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/scottrice/Ice/issues/464/events,NA
scottrice,Ice,217342430,1337995757,MDE0Ok1lbnRpb25lZEV2ZW50MTMzNzk5NTc1Nw==,https://api.github.com/repos/scottrice/Ice/issues/events/1337995757,1332337,mentioned,NA,2017-11-13T04:57:45Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/scottrice/Ice/issues/457/events,NA
scottrice,Ice,217342430,1337995758,MDE1OlN1YnNjcmliZWRFdmVudDEzMzc5OTU3NTg=,https://api.github.com/repos/scottrice/Ice/issues/events/1337995758,1332337,subscribed,NA,2017-11-13T04:57:45Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/scottrice/Ice/issues/457/events,NA
scottrice,Ice,217342430,1338104442,MDE0Ok1lbnRpb25lZEV2ZW50MTMzODEwNDQ0Mg==,https://api.github.com/repos/scottrice/Ice/issues/events/1338104442,15093567,mentioned,NA,2017-11-13T07:12:04Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/scottrice/Ice/issues/457/events,NA
scottrice,Ice,217342430,1338104443,MDE1OlN1YnNjcmliZWRFdmVudDEzMzgxMDQ0NDM=,https://api.github.com/repos/scottrice/Ice/issues/events/1338104443,15093567,subscribed,NA,2017-11-13T07:12:04Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/scottrice/Ice/issues/457/events,NA
scottrice,Ice,217342430,1339395239,MDE0Ok1lbnRpb25lZEV2ZW50MTMzOTM5NTIzOQ==,https://api.github.com/repos/scottrice/Ice/issues/events/1339395239,15093567,mentioned,NA,2017-11-13T19:11:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/scottrice/Ice/issues/457/events,NA
scottrice,Ice,217342430,1339395240,MDE1OlN1YnNjcmliZWRFdmVudDEzMzkzOTUyNDA=,https://api.github.com/repos/scottrice/Ice/issues/events/1339395240,15093567,subscribed,NA,2017-11-13T19:11:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/scottrice/Ice/issues/457/events,NA
scottrice,Ice,217145388,1025677558,MDE0Ok1lbnRpb25lZEV2ZW50MTAyNTY3NzU1OA==,https://api.github.com/repos/scottrice/Ice/issues/events/1025677558,26511314,mentioned,NA,2017-04-02T23:00:19Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/scottrice/Ice/issues/456/events,NA
scottrice,Ice,217145388,1025677559,MDE1OlN1YnNjcmliZWRFdmVudDEwMjU2Nzc1NTk=,https://api.github.com/repos/scottrice/Ice/issues/events/1025677559,26511314,subscribed,NA,2017-04-02T23:00:19Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/scottrice/Ice/issues/456/events,NA
scottrice,Ice,217145388,2481546965,MDExOkNsb3NlZEV2ZW50MjQ4MTU0Njk2NQ==,https://api.github.com/repos/scottrice/Ice/issues/events/2481546965,644146,closed,NA,2019-07-14T23:17:10Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/scottrice/Ice/issues/456/events,NA
